Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Dosa,1.0,1.0,0.0,Veg,165.0,6.0,4.0,1.8,150.0,50.0,300.0,100.0,30.0,0.0,1.0
Idli,1.0,1.0,0.0,Veg,140.0,2.0,3.0,1.2,100.0,30.0,250.0,90.0,28.0,0.0,0.5
Poha,1.0,0.0,0.0,0,130.0,1.5,2.6,3.16,1.0,201.0,117.0,26.9,1.1,0.0,0.5
Paneer Tikka,1.0,1.0,0.0,Veg,265.0,20.0,15.0,2.0,200.0,300.0,500.0,250.0,5.0,1.2,4.0
Dal Tadka,0.0,1.0,1.0,Veg,180.0,10.0,12.0,2.5,150.0,120.0,400.0,200.0,22.0,0.0,3.0
Butter Chicken,0.0,1.0,1.0,Non-Veg,490.0,30.0,35.0,3.2,250.0,100.0,700.0,300.0,10.0,0.0,5.0
Chole Bhature,0.0,1.0,1.0,Veg,450.0,25.0,20.0,4.1,220.0,200.0,800.0,350.0,15.0,0.0,6.0
Dosa,1.0,1.0,0.0,Veg,165.0,6.0,4.0,1.8,150.0,50.0,300.0,100.0,30.0,0.0,1.0
Idli,1.0,1.0,0.0,Veg,140.0,2.0,3.0,1.2,100.0,30.0,250.0,90.0,28.0,0.0,0.5
Sambhar,0.0,1.0,1.0,Veg,120.0,5.0,6.0,1.5,120.0,50.0,400.0,150.0,20.0,0.0,2.0
Pani Puri,0.0,1.0,1.0,Veg,300.0,10.0,5.0,2.1,110.0,60.0,500.0,200.0,35.0,0.0,3.0
Rajma Chawal,0.0,1.0,1.0,Veg,350.0,8.0,10.0,3.0,200.0,80.0,500.0,300.0,40.0,0.0,4.0
Palak Paneer,1.0,1.0,1.0,Veg,144.0,7.9,5.9,0.88,331.0,90.0,104.0,45.0,9.1,1.0,7.0
Aloo Paratha,1.0,1.0,1.0,Veg,384.0,5.5,2.3,1.84,117.0,149.0,347.0,23.0,4.9,2.0,5.5
Poha,1.0,0.0,1.0,Non-Veg,213.0,16.2,13.9,1.54,299.0,75.0,435.0,49.0,5.4,0.5,8.1
Upma,1.0,1.0,1.0,Veg,276.0,11.0,7.4,2.65,155.0,506.0,330.0,41.0,1.9,1.7,0.2
Biryani,1.0,0.0,0.0,Veg,344.0,7.2,5.9,1.03,77.0,389.0,439.0,11.0,7.4,0.2,7.4
Kadhi Pakora,0.0,0.0,1.0,Non-Veg,200.0,14.5,21.5,1.57,397.0,548.0,299.0,60.0,1.3,0.2,7.3
Dhokla,1.0,0.0,0.0,Veg,477.0,26.4,22.0,0.64,378.0,345.0,229.0,34.0,3.2,0.1,3.7
Misal Pav,1.0,1.0,0.0,Non-Veg,187.0,16.1,12.1,1.2,202.0,170.0,328.0,25.0,2.1,0.8,3.6
Vada Pav,0.0,1.0,0.0,Non-Veg,428.0,22.9,9.8,3.52,157.0,712.0,417.0,56.0,5.6,0.5,9.4
Baingan Bharta,0.0,1.0,1.0,Non-Veg,319.0,6.8,23.2,1.17,368.0,552.0,168.0,57.0,6.7,1.2,6.2
Matar Paneer,0.0,0.0,1.0,Veg,219.0,22.6,5.5,1.77,375.0,584.0,495.0,50.0,8.1,1.4,9.0
Roti,1.0,0.0,0.0,Veg,393.0,22.6,22.8,0.99,297.0,621.0,387.0,10.0,5.4,0.9,0.4
Naan,0.0,1.0,0.0,Non-Veg,119.0,24.1,8.9,2.6,219.0,749.0,393.0,32.0,2.6,1.1,6.3
Thepla,0.0,1.0,0.0,Veg,452.0,4.0,6.6,4.97,300.0,364.0,285.0,18.0,6.9,0.8,6.9
Litti Chokha,0.0,0.0,1.0,Veg,328.0,20.2,7.0,4.49,89.0,179.0,108.0,26.0,4.6,0.6,8.6
